,zipcode,name,population,median_income,White,African American,gini_index,labor_participation,unemployment,poverty_rate
842,61956,ZCTA5 61956,2680,56379,2553,27,0.3631,59.4,1.9,7.6
843,61957,ZCTA5 61957,2001,53421,1986,0,0.3952,61.7,10.3,11.3
844,62001,ZCTA5 62001,1664,71495,1649,13,0.3825,63.3,6.3,1.3
845,62002,ZCTA5 62002,31489,42464,22724,7168,0.4832,60.0,12.1,19.3
846,62006,ZCTA5 62006,600,63021,600,0,0.3451,51.4,0.0,1.2
847,62009,ZCTA5 62009,1731,39850,1716,0,0.4027,55.4,11.8,16.2
848,62010,ZCTA5 62010,11571,64880,11264,79,0.4026,65.5,2.2,6.3
849,62011,ZCTA5 62011,157,47000,153,0,0.2730,44.9,0.0,7.1
850,62012,ZCTA5 62012,6500,70478,6484,9,0.3833,66.1,5.3,4.9
851,62013,ZCTA5 62013,506,55000,506,0,0.3668,56.3,0.0,0.0
852,62014,ZCTA5 62014,4247,60361,4075,9,0.3766,64.1,4.8,11.8
853,62015,ZCTA5 62015,461,42083,450,0,0.3655,54.0,2.4,2.6
854,62016,ZCTA5 62016,3583,49406,3540,25,0.4375,65.6,1.6,9.3
855,62017,ZCTA5 62017,918,37826,898,0,0.4020,51.3,0.0,13.8
856,62018,ZCTA5 62018,2977,46883,2814,67,0.3746,54.2,14.6,19.0
