GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US62815,62815,ZCTA5 62815,377,86,371,84,0,11,0,11,0,11,0,11,0,11,6,10,0,11,6,10
8600000US62816,62816,ZCTA5 62816,1297,202,1279,202,2,3,0,11,0,11,0,11,0,11,16,18,0,11,16,18
8600000US62817,62817,ZCTA5 62817,478,137,478,137,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62818,62818,ZCTA5 62818,241,75,239,75,0,11,0,11,0,11,0,11,0,11,2,3,0,11,2,3
8600000US62819,62819,ZCTA5 62819,434,98,434,98,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62820,62820,ZCTA5 62820,144,63,142,62,0,11,0,11,0,11,0,11,0,11,2,4,0,11,2,4
8600000US62821,62821,ZCTA5 62821,7233,131,7072,129,50,29,6,11,52,45,0,15,0,15,53,33,0,15,53,33
8600000US62822,62822,ZCTA5 62822,3158,231,3130,233,13,21,0,11,4,7,0,11,0,11,11,13,0,11,11,13
8600000US62823,62823,ZCTA5 62823,1805,246,1783,244,0,11,0,11,0,11,0,11,14,21,8,11,0,11,8,11
8600000US62824,62824,ZCTA5 62824,1721,225,1712,224,0,11,0,11,0,11,0,11,0,11,9,15,0,11,9,15
8600000US62825,62825,ZCTA5 62825,170,49,170,49,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62827,62827,ZCTA5 62827,1295,153,1228,156,2,3,7,6,41,26,11,14,2,3,4,6,0,11,4,6
8600000US62828,62828,ZCTA5 62828,1296,251,1296,251,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62829,62829,ZCTA5 62829,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62830,62830,ZCTA5 62830,1310,174,1264,176,0,11,0,11,11,11,0,11,0,11,35,27,0,11,35,27
8600000US62831,62831,ZCTA5 62831,442,97,424,93,7,8,0,11,0,11,0,11,0,11,11,14,0,11,11,14
8600000US62832,62832,ZCTA5 62832,8946,320,8363,410,244,169,30,28,51,49,0,15,87,95,171,67,0,15,171,67
8600000US62833,62833,ZCTA5 62833,330,138,330,138,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62835,62835,ZCTA5 62835,883,187,874,188,6,13,0,11,0,11,0,11,0,11,3,5,0,11,3,5
8600000US62836,62836,ZCTA5 62836,747,138,741,138,0,11,0,11,0,11,0,11,0,11,6,11,0,11,6,11
8600000US62837,62837,ZCTA5 62837,8728,323,8454,326,75,54,19,18,66,47,0,15,0,15,114,65,3,5,111,64
8600000US62838,62838,ZCTA5 62838,1702,285,1686,280,0,11,4,6,0,11,0,11,0,11,12,16,0,11,12,16
8600000US62839,62839,ZCTA5 62839,6376,162,6283,170,40,41,0,15,2,6,0,15,0,15,51,23,0,15,51,23
8600000US62841,62841,ZCTA5 62841,110,67,88,44,0,11,0,11,0,11,0,11,0,11,22,35,0,11,22,35
8600000US62842,62842,ZCTA5 62842,717,123,704,121,7,11,0,11,6,11,0,11,0,11,0,11,0,11,0,11
8600000US62843,62843,ZCTA5 62843,111,52,111,52,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62844,62844,ZCTA5 62844,2103,208,2088,206,0,11,0,11,3,5,0,11,0,11,12,12,0,11,12,12
8600000US62846,62846,ZCTA5 62846,2785,123,1816,141,929,145,8,16,0,11,0,11,6,9,26,26,0,11,26,26
8600000US62848,62848,ZCTA5 62848,788,146,741,132,0,11,42,55,0,11,0,11,0,11,5,8,0,11,5,8
8600000US62849,62849,ZCTA5 62849,2053,192,1981,187,4,7,19,16,34,37,0,11,0,11,15,10,0,11,15,10
8600000US62850,62850,ZCTA5 62850,343,133,329,130,0,11,12,14,0,11,0,11,0,11,2,3,0,11,2,3
8600000US62851,62851,ZCTA5 62851,215,110,210,109,0,11,0,11,2,4,0,11,0,11,3,6,0,11,3,6
8600000US62852,62852,ZCTA5 62852,86,32,84,32,0,11,1,3,0,11,0,11,0,11,1,3,0,11,1,3
8600000US62853,62853,ZCTA5 62853,923,159,905,160,0,11,0,11,14,22,0,11,4,6,0,11,0,11,0,11
8600000US62854,62854,ZCTA5 62854,1726,252,1712,254,0,11,12,10,0,11,0,11,0,11,2,3,0,11,2,3
8600000US62856,62856,ZCTA5 62856,355,84,343,81,0,11,0,11,0,11,0,11,0,11,12,16,0,11,12,16
8600000US62858,62858,ZCTA5 62858,2838,328,2764,320,50,31,3,5,11,17,0,11,0,11,10,17,0,11,10,17
8600000US62859,62859,ZCTA5 62859,5876,351,5841,354,18,21,7,10,10,17,0,15,0,15,0,15,0,15,0,15
